Type,Part Id,Quantity,Designator,Name,Footprint,LCSC
IC,391473-01,1,U403,"LM833, Dual Op Amp",SOIC8N,C473907
IC,391103-01,1,U402,"LF347, Quad Op Amp, JFET",SOIC14N,C7917
IC,391087-01,1,U304,"1488, Quad Line Driver",SOIC14N,C7065
IC,391086-01,1,U305,"1489, Quad Line Receiver",SOIC14N,C7066
IC,391421-01,1,D507,"LM-385-DR-1.2V Voltage Reference, 1.2V",SOIC8N,C5145286
IC,391276-01,1,U131,"7406, Hex Open-Collector Inverter Buffer",SOIC14N,C6914
IC,391188-01,2,"U141,U311","7407, Hex Open-Collector Buffer",SOIC14N,C40481
IC,391499-01,1,U145,"74F521, 8-Bit Identity Comparator",SOIC20W,C2878464
IC,391088-01,1,U215,"74F04, Hex Inverter",SOIC14N,C7159
IC,391183-01,2,"U130,U710","74F08, Quadruple 2-Input Positive-And Gate",SOIC14N,C2878688
IC,391175-01,1,U140,"74F32, Quadruple 2-Input Positive-Or Gate",SOIC14N,C7168
IC,391320-01,2,"U106,U459","74F74, Dual Flip-Flop with Clear and Preset",SOIC14N,C6805
IC,391325-01,1,U711,"74F86, Quadruple 2-Input Exclusive-Or Gate",SOIC14N,C2878692
IC,391375-01,7,"U704,U707,U708,U891,U892,U893,U894","74F245, Octal Tri-State Bus Transceiver",SOIC20W,C1548311
IC,391481-01,1,U216,"74F841, 10-Bit Transparent Latch",SOIC24W,C2872799
IC,391374-02,3,"U702,U703,U706","74FCT646T, 8-Bit Registered Tri-State Transceiver",SOIC24W,C2878410
IC,391480-01,2,"U975,U976","74HCT166, 8-Bit Parallel-In/Serial-Out Shift Register",SOIC16N,C2868525
IC,391474-01,4,"U455,U456,U457,U458","74FCT245, 8-Bit Tri-State Transceiver",SOIC20W,C2863247
IC,391377-01,3,"U177,U354,U907","74HCT174, Hex D-type Flip-Flop with Reset",SOIC16N,C2441404
IC,391326-01,1,U352,"74LS38, Quadruple Positive-Nand with Open-Collector",SOIC14N,C2866939
IC,391141-01,1,U351,"74LS74A, Dual D-Type Flip-Flop with Preset and Clear",SOIC14N,C39990
IC,391311-01,1,U205,"74HC4066, Quadruple Bilateral Analog Switch",SOIC14N,C5628
IC,391100-01,2,"U903,U904","74HCT245, Octal Tri-State Bus Transceiver",SOIC20W,C5979
IC,391191-01,2,"U353,U355","74LS125A, Quadruple Tri-State Bus Buffer",SOIC14N,C20618700
Transistor,391121-01,2,"Q300,Q901",2N3904 - NPN,SOT23,C77991
Transistor,391122-01,1,Q400,2N3906 - PNP,SOT23,C896901
Transistor,391145-01,2,"Q430,Q440",MPF102 - N-Channel JFET,SOT23,C152291
