Designator,Mid X,Mid Y,Rotation,Layer
BT176,14.86,127.38,0,Top
C102,183.26,166.75,270,Top
C103,157.61,166.5,0,Bottom
C104,191.39,155.32,0,Bottom
C106,166.24,168.78,0,Bottom
C130,144.83,71.5,0,Bottom
C131,119.76,304.67,0,Bottom
C140,142.37,89.03,0,Bottom
C141,144.14,99.69,0,Bottom
C145,220.09,26.54,0,Bottom
C150,188.34,171.32,0,Top
C152,160.91,207.9,0,Bottom
C154A,211.45,171.07,0,Bottom
C154B,211.45,173.61,0,Bottom
C175,195.2,101.22,0,Bottom
C176,175.64,101.47,0,Bottom
C177,18.41,146.18,0,Bottom
C178,44.58,156.34,0,Bottom
C179,44.58,151.26,0,Bottom
C181,111.63,327.79,180,Top
C185,232.54,208.41,270,Top
C186,232.54,208.41,0,Bottom
C187,221.87,208.91,270,Top
C188,7.49,62.36,270,Top
C189,41.02,318.64,270,Top
C190,124.08,59.56,270,Top
C191,144.65,43.05,270,Top
C192,28.57,125.09,270,Top
C193,224.15,241.43,0,Bottom
C194,231.52,244.98,270,Top
C195,233.04,241.43,0,Bottom
C196,223.39,244.98,270,Top
C198,98.93,327.79,90,Top
C199,93.85,327.79,270,Top
C200,31.62,160.91,180,Top
C201,31.62,162.43,0,Bottom
C205,79.63,315.34,0,Bottom
C211A,42.04,248.54,0,Bottom
C211B,43.81,240.16,0,Bottom
C211C,25.78,222.38,0,Bottom
C212,41.78,219.07,0,Bottom
C213,22.48,218.06,0,Bottom
C215,33.91,197.23,0,Bottom
C216,22.73,190.37,0,Bottom
C250A,88.77,43.31,0,Bottom
C250C,95.38,59.82,0,Bottom
C300,197.48,287.15,0,Bottom
C305,170.05,306.45,0,Bottom
C311,8.51,26.54,0,Bottom
C317,196.21,304.93,270,Top
C318,217.3,321.18,90,Top
C350,227.46,286.64,0,Bottom
C351,158.37,290.7,0,Bottom
C352,146.68,290.7,0,Bottom
C353,146.68,306.45,0,Bottom
C354,146.68,275.46,0,Bottom
C355,170.05,290.7,0,Bottom
C400A,50.67,303.4,180,Top
C400B,43.05,303.4,0,Bottom
C402A,7.49,307.97,0,Bottom
C402B,25.27,313.05,0,Bottom
C403,25.27,304.93,0,Top
C404,25.02,309.75,0,Top
C405,32.38,302.39,0,Top
C406,25.27,314.58,0,Top
C407,33.91,308.48,0,Top
C408,33.4,318.64,270,Top
C409,7.49,325.75,0,Bottom
C411,41.27,289.69,0,Bottom
C412,41.27,287.15,0,Bottom
C413,34.67,287.15,0,Bottom
C414,34.67,289.69,0,Bottom
C430,25.27,305.43,0,Bottom
C431,10.03,302.89,0,Bottom
C432,10.03,305.43,0,Bottom
C433,24.76,319.4,180,Top
C440,25.27,323.21,0,Bottom
C441,7.49,315.59,0,Bottom
C442,7.75,309.24,270,Top
C443,16.13,318.13,0,Top
C446,41.27,328.29,0,Bottom
C447,34.92,328.29,0,Bottom
C450,122.3,213.74,270,Top
C455,100.2,263.52,0,Bottom
C455B,99.19,251.08,0,Bottom
C456,110.11,281.81,0,Bottom
C456B,106.81,266.83,0,Bottom
C457,114.43,295.27,0,Bottom
C457B,114.43,285.62,0,Bottom
C458,96.14,305.94,0,Top
C458B,90.8,287.65,0,Bottom
C459,96.14,278.51,0,Bottom
C460A,78.1,280.8,0,Bottom
C460B,78.1,278.26,0,Bottom
C460C,71.75,275.72,0,Bottom
C460D,71.75,278.26,0,Bottom
C460E,78.1,275.72,0,Bottom
C460F,78.1,283.34,0,Bottom
C460G,67.44,302.39,180,Top
C485,95.88,282.07,0,Bottom
C500,72.77,265.81,0,Bottom
C511,46.35,318.9,270,Top
C512,48.89,318.9,270,Top
C513,59.56,311.78,270,Top
C700,89.28,131.19,0,Bottom
C701,31.62,164.97,0,Top
C702,125.86,176.4,0,Bottom
C703,102.36,116.71,0,Bottom
C704,108.08,191.13,0,Bottom
C706,85.65,192.4,0,Bottom
C707,100.46,81.66,0,Bottom
C708,101.4,100.96,0,Top
C710,68.45,303.4,0,Bottom
C711,45.59,205.87,0,Top
C714,80.14,166.75,0,Bottom
C860,146.1,22.48,0,Bottom
C890,171.07,48.39,0,Bottom
C891,41.02,131.95,0,Bottom
C892,118.24,21.72,0,Bottom
C893,94.87,15.11,270,Top
C894,77.6,17.32,270,Top
C901,152.02,249.05,0,Bottom
C902,174.12,247.52,0,Bottom
C903,197.99,244.98,0,Bottom
C904,203.58,254.13,0,Bottom
C907,158.88,275.46,0,Bottom
C975,17.91,169.04,0,Bottom
C976,17.65,157.35,0,Bottom
C990,15.37,298.83,0,Bottom
CN160,229.23,226.95,0,Top
CN175,106.3,339.47,270,Top
CN200,126.62,11.3,0,Top
CN300,207.14,336.42,0,Top
CN302,126.62,3.68,0,Top
CN303,126.62,7.49,0,Top
CN350,207.14,343.53,0,Top
CN351,180.97,230.76,180,Top
CN352,151.26,343.03,270,Top
CN402,27.56,343.15,270,Top
CN403,40.51,343.15,270,Top
CN404,34.16,325.75,0,Top
CN450,72.77,343.03,270,Top
CN452,134.49,238.63,270,Top
CN600,134.49,100.46,270,Top
CN651,229.49,120.01,0,Top
CN900,180.97,221.61,180,Top
CN975,9.5,244.53,270,Top
CN976,9.5,279.58,270,Top
D1,238,5.08,0,Top
D175,227.96,256.67,270,Top
D176,232.03,256.67,90,Top
D177,37.72,160.65,270,Top
D178,41.53,160.65,270,Top
D2,5.08,5.08,0,Top
D3,238,327.28,0,Top
D300,173.86,327.79,270,Top
D305,202.06,271.91,180,Top
D306,188.85,301.37,0,Top
D307,188.85,305.43,0,Top
D360,228.73,303.91,90,Top
D361,224.66,303.91,90,Top
D362,232.79,303.91,90,Top
D363,236.85,303.91,90,Top
D4,220.22,199.39,0,Top
D5,151.64,199.39,0,Top
D500,51.94,293.24,90,Top
D501,57.53,283.59,90,Top
D502,67.18,296.54,180,Top
D503,56.01,293.24,90,Top
D504,57.53,274.19,90,Top
D505,53.47,283.59,90,Top
D507,79.88,266.83,270,Top
D6,220.22,33.65,0,Top
D7,151.64,33.65,0,Top
EC182,110.11,329.82,0,Bottom
EC183,96.9,329.82,0,Bottom
EC184,103.5,329.82,0,Bottom
EC300,208.15,304.93,270,Top
EC301,185.29,321.18,270,Top
EC302,195.45,321.18,270,Top
EC303,190.37,321.18,270,Top
EC304,197.99,321.18,270,Top
EC305,203.07,304.93,270,Top
EC306,205.61,321.18,270,Top
EC307,172.08,323.72,0,Top
EC308,228.98,321.18,270,Top
EC309,232.03,320.67,0,Bottom
