RefDes     X          Y          Rot.       Exact     (FREE)    Side
BT176      585.0000   5015.0000  000        EXACT     (FREE)    Top                           
C102       7215.0000  6565.0000  000        EXACT     (FREE)    Top                           
C103       6205.0000  6555.0000  180        EXACT     (FREE)    Bottom                        
C104       7535.0000  6115.0000  180        EXACT     (FREE)    Bottom                        
C106       6545.0000  6645.0000  180        EXACT     (FREE)    Bottom                        
C130       5702.0000  2815.0000  180        EXACT     (FREE)    Bottom                        
C131       4715.0000  11995.0000 180        EXACT     (FREE)    Bottom                        
C140       5605.0000  3505.0000  180        EXACT     (FREE)    Bottom                        
C141       5675.0000  3925.0000  180        EXACT     (FREE)    Bottom                        
C145       8665.0000  1045.0000  180        EXACT     (FREE)    Bottom                        
C150       7415.0000  6745.0000  000        EXACT     (FREE)    Top                           
C152       6335.0000  8185.0000  180        EXACT     (FREE)    Bottom                        
C154A      8325.0000  6735.0000  180        EXACT     (FREE)    Bottom                        
C154B      8325.0000  6835.0000  180        EXACT     (FREE)    Bottom                        
C175       7685.0000  3985.0000  180        EXACT     (FREE)    Bottom                        
C176       6915.0000  3995.0000  180        EXACT     (FREE)    Bottom                        
C177       725.0000   5755.0000  180        EXACT     (FREE)    Bottom                        
C178       1755.0000  6155.0000  180        EXACT     (FREE)    Bottom                        
C179       1755.0000  5955.0000  180        EXACT     (FREE)    Bottom                        
C181       4395.0000  12905.0000 000        EXACT     (FREE)    Top                           
C185       9155.0000  8205.0000  000        EXACT     (FREE)    Top                           
C186       9155.0000  8205.0000  180        EXACT     (FREE)    Bottom                        
C187       8735.0000  8225.0000  000        EXACT     (FREE)    Top                           
C188       295.0000   2455.0000  000        EXACT     (FREE)    Top                           
C189       1615.0000  12545.0000 000        EXACT     (FREE)    Top                           
C190       4885.0000  2345.0000  000        EXACT     (FREE)    Top                           
C191       5695.0000  1695.0000  000        EXACT     (FREE)    Top                           
C192       1125.0000  4925.0000  000        EXACT     (FREE)    Top                           
C193       8825.0000  9505.0000  180        EXACT     (FREE)    Bottom                        
C194       9115.0000  9645.0000  000        EXACT     (FREE)    Top                           
C195       9175.0000  9505.0000  180        EXACT     (FREE)    Bottom                        
C196       8795.0000  9645.0000  000        EXACT     (FREE)    Top                           
C198       3895.0000  12905.0000 000        EXACT     (FREE)    Top                           
C199       3695.0000  12905.0000 000        EXACT     (FREE)    Top                           
C200       1245.0000  6335.0000  000        EXACT     (FREE)    Top                           
C201       1245.0000  6395.0000  180        EXACT     (FREE)    Bottom                        
C205       3135.0000  12415.0000 180        EXACT     (FREE)    Bottom                        
C211A      1655.0000  9785.0000  180        EXACT     (FREE)    Bottom                        
C211B      1725.0000  9455.0000  180        EXACT     (FREE)    Bottom                        
C211C      1015.0000  8755.0000  180        EXACT     (FREE)    Bottom                        
C212       1645.0000  8625.0000  180        EXACT     (FREE)    Bottom                        
C213       885.0000   8585.0000  180        EXACT     (FREE)    Bottom                        
C215       1335.0000  7765.0000  180        EXACT     (FREE)    Bottom                        
